token;value
двадцать один;21
двадцать первого;21
двадцать два;22
двадцать второго;22
двадцать три;23
двадцать третьего;23
двадцать четыре;24
двадцать четвертого;24
двадцать пять;25
двадцать пятого;25
двадцать шесть;26
двадцать шестого;26
двадцать семь;27
двадцать седьмого;27
двадцать восемь;28
двадцать восьмого;28
двадцать девять;29
двадцать девятого;29
тридцать один;31
тридцать первого;31
тридцать два;32
тридцать второго;32
тридцать три;33
тридцать третьего;33
тридцать четыре;34
тридцать четвертого;34
тридцать пять;35
тридцать пятого;35
тридцать шесть;36
тридцать шестого;36
тридцать семь;37
тридцать седьмого;37
тридцать восемь;38
тридцать восьмого;38
тридцать девять;39
тридцать девятого;39
сорок один;41
сорок первого;41
сорок два;42
сорок второго;42
сорок три;43
сорок третьего;43
сорок четыре;44
сорок четвертого;44
сорок пять;45
сорок пятого;45
сорок шесть;46
сорок шестого;46
сорок семь;47
сорок седьмого;47
сорок восемь;48
сорок восьмого;48
сорок девять;49
сорок девятого;49
пятьдесят один;51
пятьдесят первого;51
пятьдесят два;52
пятьдесят второго;52
пятьдесят три;53
пятьдесят третьего;53
пятьдесят четыре;54
пятьдесят четвертого;54
пятьдесят пять;55
пятьдесят пятого;55
пятьдесят шесть;56
пятьдесят шестого;56
пятьдесят семь;57
пятьдесят седьмого;57
пятьдесят восемь;58
пятьдесят восьмого;58
пятьдесят девять;59
пятьдесят девятого;59
шестьдесят один;61
шестьдесят первого;61
шестьдесят два;62
шестьдесят второго;62
шестьдесят три;63
шестьдесят третьего;63
шестьдесят четыре;64
шестьдесят четвертого;64
шестьдесят пять;65
шестьдесят пятого;65
шестьдесят шесть;66
шестьдесят шестого;66
шестьдесят семь;67
шестьдесят седьмого;67
шестьдесят восемь;68
шестьдесят восьмого;68
шестьдесят девять;69
шестьдесят девятого;69
семьдесят один;71
семьдесят первого;71
семьдесят два;72
семьдесят второго;72
семьдесят три;73
семьдесят третьего;73
семьдесят четыре;74
семьдесят четвертого;74
семьдесят пять;75
семьдесят пятого;75
семьдесят шесть;76
семьдесят шестого;76
семьдесят семь;77
семьдесят седьмого;77
семьдесят восемь;78
семьдесят восьмого;78
семьдесят девять;79
семьдесят девятого;79
восемьдесят один;81
восемьдесят первого;81
восемьдесят два;82
восемьдесят второго;82
восемьдесят три;83
восемьдесят третьего;83
восемьдесят четыре;84
восемьдесят четвертого;84
восемьдесят пять;85
восемьдесят пятого;85
восемьдесят шесть;86
восемьдесят шестого;86
восемьдесят семь;87
восемьдесят седьмого;87
восемьдесят восемь;88
восемьдесят восьмого;88
восемьдесят девять;89
восемьдесят девятого;89
девяносто один;91
девяносто первого;91
девяносто два;92
девяносто второго;92
девяносто три;93
девяносто третьего;93
девяносто четыре;94
девяносто четвертого;94
девяносто пять;95
девяносто пятого;95
девяносто шесть;96
девяносто шестого;96
девяносто семь;97
девяносто седьмого;97
девяносто восемь;98
девяносто восьмого;98
девяносто девять;99
девяносто девятого;99
